,id,status,chemicalformula,job,subjob,project,timestart,timestop,totalcputime,computer,hamilton,hamversion,parentid,masterid
1,0,finished,Al4,ham_3_95Ang,/ham_3_95Ang,save/EOS,2021-11-25 14:34:57.238501,2021-11-25 14:34:59.124372,1.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
6,1,finished,Al4,ham_3_97Ang,/ham_3_97Ang,save/EOS,2021-11-25 14:34:57.283689,2021-11-25 14:34:59.124917,1.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
10,2,finished,Al4,ham_3_99Ang,/ham_3_99Ang,save/EOS,2021-11-25 14:34:57.199492,2021-11-25 14:34:59.311499,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
11,3,finished,Al4,ham_4_01Ang,/ham_4_01Ang,save/EOS,2021-11-25 14:34:57.321634,2021-11-25 14:34:59.472165,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
4,4,finished,Al4,ham_4_03Ang,/ham_4_03Ang,save/EOS,2021-11-25 14:34:57.088257,2021-11-25 14:34:59.184110,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
2,5,finished,Al4,ham_4_05Ang,/ham_4_05Ang,save/EOS,2021-11-25 14:34:55.073618,2021-11-25 14:34:57.412836,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
5,6,finished,Al4,ham_4_07Ang,/ham_4_07Ang,save/EOS,2021-11-25 14:34:57.485340,2021-11-25 14:34:59.670763,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
3,7,finished,Al4,ham_4_09Ang,/ham_4_09Ang,save/EOS,2021-11-25 14:34:57.268116,2021-11-25 14:34:59.479289,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
9,8,finished,Al4,ham_4_11Ang,/ham_4_11Ang,save/EOS,2021-11-25 14:34:57.360693,2021-11-25 14:34:59.579999,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
8,9,finished,Al4,ham_4_13Ang,/ham_4_13Ang,save/EOS,2021-11-25 14:34:57.251221,2021-11-25 14:34:59.491385,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
7,10,finished,Al4,ham_4_15Ang,/ham_4_15Ang,save/EOS,2021-11-25 14:34:55.155840,2021-11-25 14:34:57.396584,2.0,lfzhu@cmti001#1#cm,Vasp,5.4.4,,
0,11,finished,,table,/table,save/EOS,2021-11-25 14:40:46.283797,2021-11-25 14:40:47.186626,0.0,lfzhu@cmti001#1,TableJob,0.1,,
